listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,listings_per_host,minimum_nights_per_listing
33923187,Studio apartment,146853402,Veronika,Dublin City,53.3889,-6.2015,Entire home/apt,1200,1,0,,,1,0,0,1,1
33928929,large four bed family home,256157657,Mary,Dublin City,53.31223,-6.29303,Entire home/apt,150,7,0,,,1,0,0,1,7
33932757,Dublin Central Double Bedroom Own Bathroom B&B,256238069,Gareth,Dublin City,53.35599,-6.29414,Private room,83,3,77,07/12/2022,1.88,2,76,46,2,3
33937931,"Two bedroom apt, near City Centre, Phoenix park",35057270,Philip,Fingal,53.37229,-6.33452,Entire home/apt,159,4,3,29/02/2020,0.07,3,0,0,3,4
33938298,Cosy City Centre Apt on the river,96407029,Aine,Dublin City,53.34436,-6.2429,Private room,70,2,27,02/01/2022,0.61,2,0,3,2,2
33938520,"Apt near City Centre, Phoenix park",35057270,Philip,Fingal,53.37332,-6.33611,Private room,49,7,1,07/05/2019,0.02,3,0,0,3,7
33965145,Victorian Townhouse in the CityCentre with Parking,106637261,Michael,Dublin City,53.36544,-6.22522,Private room,67,3,15,17/02/2020,0.35,1,0,0,1,3
33994063,Luxury 2 bed 2 bath apt 20min from City Centre!,26974318,Libia,Dn Laoghaire-Rathdown,53.2782,-6.21583,Entire home/apt,156,7,65,17/09/2022,1.49,1,72,22,1,7
33995944,Lovely location 15 mins from Dublin City Centre,243938801,Anne,Dn Laoghaire-Rathdown,53.28751,-6.23612,Private room,34,1,28,13/03/2020,0.63,1,0,0,1,1
34010135,Large Apartment 15mins Airport 15 mins City Centre,256792503,Dermot,Dublin City,53.38725,-6.30119,Entire home/apt,150,3,21,27/07/2019,0.47,1,0,0,1,3
34014153,In the Heart of Dublin.,132628695,Elizabeth,Dublin City,53.34921,-6.23008,Private room,65,1,102,09/03/2020,2.38,1,0,0,1,1
34016010,Modern 3 bedroom house with beautiful garden.,86134996,Tracy,South Dublin,53.33508,-6.45707,Entire home/apt,90,5,3,17/08/2021,0.07,1,0,0,1,5
34032210,Comfortable DoubleRoom in City Centre Parnell st.,67472061,Junior,Dublin City,53.34929,-6.26974,Private room,80,2,4,05/03/2020,0.09,1,51,0,1,2
34062848,Autumn/winter in Sandycove,10882320,Monica,Dn Laoghaire-Rathdown,53.28132,-6.1189,Private room,50,1,10,19/03/2020,0.23,3,34,0,3,1
34070727,Acara House Bed and breakfast,257287309,Liz,Dublin City,53.36431,-6.2632,Private room,110,5,4,28/10/2021,0.12,1,0,0,1,5
34091661,Double room in lovely house in fabulous area,45081475,Rachel,Dn Laoghaire-Rathdown,53.29965,-6.24853,Private room,120,2,0,,,1,40,0,1,2
34092159,Studio flat own entrance,51892034,Denis,Dublin City,53.3412,-6.31311,Entire home/apt,45,1,0,,,2,0,0,2,1
34100262,"Large Georgian House, Sea Views @ Malahide Beach",257503275,Deirdre,Fingal,53.44303,-6.13313,Entire home/apt,479,2,15,17/08/2020,0.35,1,46,0,1,2
34108410,"Central double bedroom, private bathroom & balcony",218234272,Jesse,Dublin City,53.33946,-6.23222,Private room,69,2,7,11/09/2019,0.16,1,0,0,1,2
34121652,Engine Rooms Dublin,234581469,Michael,Dublin City,53.3395,-6.27479,Entire home/apt,256,2,153,12/12/2022,3.48,4,60,53,4,2
34122165,Quiet apartment near the city,182203795,Jenny,Dublin City,53.33822,-6.23612,Entire home/apt,150,4,19,24/08/2019,0.43,1,0,0,1,4
34879281,Cozy Double Room,49214216,Evelin,Dublin City,53.36171,-6.28582,Private room,40,3,3,09/06/2019,0.07,1,0,0,1,3
34886933,Stylish Victorian 4 bed home close to Dublin city,45265953,Aisling,Dublin City,53.3197,-6.2832,Entire home/apt,375,2,2,28/07/2019,0.05,1,0,0,1,2
34889972,Bunk room in one of Dublin's best Hubs,262987523,Edie,Dublin City,53.31631,-6.2677,Private room,30,1,3,23/06/2019,0.07,1,0,0,1,1
34891141,Nice double bedroom with big private bathroom!,262994248,John,Dublin City,53.34763,-6.28088,Private room,70,1,7,18/10/2019,0.17,1,0,0,1,1
34897418,J,16989346,Judith,Dublin City,53.31787,-6.28377,Private room,36,60,1,15/08/2022,0.25,1,61,1,1,35
34931021,Drury Court Hotel- super central Dublin hotel,256945665,Drury,Dublin City,53.34016,-6.26514,Private room,145,1,39,17/10/2022,1.03,8,297,16,8,1
34931054,Drury Court Hotel- super central Dublin hotel,256945665,Drury,Dublin City,53.34221,-6.26409,Private room,180,1,104,21/11/2022,2.71,8,302,69,8,1
34931097,Drury Court Hotel- super central Dublin hotel,256945665,Drury,Dublin City,53.34072,-6.26354,Private room,210,1,2,18/02/2020,0.05,8,301,0,8,1
34931128,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,Dublin City,53.34004,-6.26331,Private room,180,1,2,25/08/2022,0.07,8,306,1,8,1
34931178,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,Dublin City,53.34171,-6.26525,Private room,156,1,93,18/11/2022,2.19,8,313,53,8,1
34931800,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,Dublin City,53.34191,-6.26325,Private room,155,1,2,15/08/2022,0.14,8,297,1,8,1
34931838,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,Dublin City,53.34034,-6.26509,Private room,180,1,3,02/09/2022,0.33,8,313,3,8,1
34931848,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,Dublin City,53.34235,-6.26405,Private room,156,1,154,05/12/2022,3.64,8,307,56,8,1
34943496,THE LIBERTY'S ON YOUR DOOR STEP TRAVEL IN COMFORT,263300105,Noel,Dublin City,53.33517,-6.28819,Private room,65,2,39,16/02/2020,0.9,1,0,0,1,2
34958273,Cosy private bedroom 12 min from Dublin airport,53798312,Hevelyn,Fingal,53.4722,-6.23046,Private room,85,1,0,,,1,69,0,1,1
34973679,Luxurious City Centre Apartment - Christchurch,234581469,Michael,Dublin City,53.34207,-6.2711,Entire home/apt,144,2,35,04/12/2022,0.82,4,10,14,4,2
34975137,"Lovely and bright double bedroom, private bathroom",138974815,Anamaria,Fingal,53.39731,-6.43365,Private room,43,1,72,17/03/2020,1.67,1,0,0,1,1
